!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
cutbirth|k x ʊ t b i ɾ θ
cutler's|k x ʊ t l e ɾ s
cuvelier|k x ʊ b e l j e ɾ
cwik|k w ɪ k
d'etude|d e t u d e
dagley|d ɐ ɡ l e ɪ̯
dahle|d ɐ h l e
daigneault|d a ɪ̯ ɡ n j a ʊ̯ l t
dainippon|d ɐ ʔ ɪ n i p o n
damiani|d ɐ m ɪ a n ɪ
damon's|d ɐ m o n s
dangles|d ɐ ŋ l e s
daniels's|d ɐ n j e l s
danjube|d ɐ ŋ h u b e
dansforth|d ɐ n s f o ɾ tʰ
daphne's|d ɐ p h n e s
dardar|d ɐ ɾ d a ɾ
darienzo|d ɐ ɾ j e n s o
daschle|d ɐ s t͡ʃ l e
datz|d ɐ t͡s
daughtridge|d ɐ ʔ u t ɾ ɪ d͡ʒ
davault|d ɐ b a ʊ̯ l t
de(3)|d e
deandrade|d e ɐ n d ɾ a d e
dearth|d æ ɾ θ
debased|d e b a s e d
debeers|d e b e e ɾ s
decastro|d e x a s t ɾ o
deceleration|d e s e l e ɾ a ʃ o n
dechine(2)|d e t͡ʃ i n e
decision's|d e s ɪ ʃ o n s
declerck|d e k l e ɾ k
decola|d e x o l ɐ
decourcy|d e x o ʊ ɾ s ɪ
decter|d e k t e ɾ
deductibility|d e d ʊ k t ɪ b ɪ l i t͡ʃ
defamatory|d e f ɐ m ɐ t o ɾ ɪ
defendants'|d e f e n d ɐ n t s
defibaugh|d e f ɪ b a ʔ ʊ̯
deflected|d e f l e k t e d
defrank|d e f ɾ ɐ ŋ k
degan|d e ɰ ɐ n
dehnert|d e h n e ɾ t
dejesus|d e h e s ʊ s
deland|d e l ɐ n d
delauder|d e l a ʊ̯ d e ɾ
delco|d e l k o
delegation's|d e l e ɰ a ʃ o n s
delgrande|d e l ɡ ɾ a n d e
dellarocco|d e l l ɐ ɾ o k o
delmonico|d e l m o n ɪ x o
delossantos|d e l o s a n t o s
delreal|d e l ɾ e ɐ l
demagoguing|d e m ɐ ɰ o ɰ ɪ ŋ
demas|d e m ɐ s
demille(2)|d e m i l l e
demmon|d e m m o n
denationalized|d e n a ʃ o n ɐ l i s e d
dengel|d e ŋ e l
denigrated|d e n ɪ ɡ ɾ a t e d
deno|d e n o
dentists'(2)|d e n t ɪ s t s
denwa|d e n w ɐ
depascale|d e p ɐ s k a l e
deployable|d e p l o j a b l e
depositary(2)|d e p o s ɪ t a ɾ ɪ
depreciate|d e p ɾ e ʃ a t e
dequeker|d e x e x e ɾ
derisively|d e ɾ ɪ s i b l ɪ
deruyter|d e ɾ u ɪ̯ t e ɾ
deschaine|d e s t͡ʃ a ɪ̯ n e
desensitized|d e s e n s ɪ t i s e d
deshler|d e s h l e ɾ
determination's|d e t e ɾ m ɪ n a ʃ o n s
dethrone|d e t h ɾ o n e
detours(2)|d e t o ʊ̯ ɾ s
dettloff|d e t l o f
deupree|d e ʔ ʊ p ɾ e ʔ e
deutschemark's|d e u t͡ʃ e m a ɾ k s
deverell|d e b e ɾ e l l
devilwood|d e b ɪ l w ʊ d
devolved|d e b o l b e d
diagrammed|d ɪ ɐ ɡ ɾ ɐ m e d
dickmann|d ɪ k m a n ə n
dictators|d ɪ k t ɐ t o ɾ s
diener|d ɪ e n e ɾ
dieterich|d ɪ e t e ɾ ɪ t͡ʃ
difficulties(2)|d ɪ f f ɪ x ʊ l t͡ʃ e s
digest's|d ɪ d͡ʒ e s t s
digidyne|d ɪ ɰ ɪ d ɪ n e
digressing|d ɪ ɡ ɾ e s ɪ ŋ
dillenburg|d ɪ l l e n b ʊ ɾ ɡ
dimeglio|d ɪ m e ɡ l ɪ o
dimick|d ɪ m i k
dimry|d ɪ m ɾ ɪ
dinardo|d ɪ n a ɾ d o
dinning|d ɪ n i ŋ
dios's|d ɪ o s
dipalma|d ɪ p a l m ɐ
direction(3)|d ɪ ɾ e k ʃ o n s e
director's(2)|d ɪ ɾ e k t o ɾ s
directorships(2)|d ɪ ɾ e k t o ɾ s h ɪ p s
disabato|d ɪ s ɐ b a t o
disbelieve|d ɪ s b e l j e b e
discharging(2)|d ɪ s t͡ʃ ɐ ɾ ɡ i ŋ k
discolors|d ɪ s k o l o ɾ s
discounters|d ɪ s k o ʊ̯ n t e ɾ s
dishes(2)|d ɪ s h e s
disinterest|d ɪ s ɪ n t e ɾ e s t
dismember|d ɪ s m e m b e ɾ
disparate(2)|d ɪ s p ɐ ɾ a t e b i
disposer|d ɪ s p o s e ɾ
dissinger|d ɪ s ɪ ŋ e ɾ
distancing|d ɪ s t a n s ɪ ŋ
distrustful|d ɪ s t ɾ ʊ s t f ʊ l
dittmar|d ɪ t m a ɾ
diveley|d ɪ b e l e ɪ̯
diversions|d ɪ b e ɾ ʃ o n s
divestiture|d ɪ b e s t ɪ t u ɾ e
divis|d ɪ b i s
divorcee(2)|d ɪ b o ɾ s e ʔ e
djurdjevic|d͡ʒ ʊ ɾ d͡ʒ e b ɪ k
doerfler|d o e ɾ f l e ɾ
dogged|d o ɡ ɡ e d
dohrman|d o h ɾ m ɐ n
dollard|d o l j ɐ ɾ d
dols|d o l s
domas|d o m ɐ s
domenici(3)|d o m e n i s ɪ ʔ e s
dominicana(2)|d o m ɪ n ɪ x a n ɐ s e
donaldo's|d o n a l d o s
donned|d o n e d
donohue's(2)|d o n o h ʊ e s
doody|d ʊ d͡ʒ i
doorknobs|d o ʔ o ɾ k n o b s
dorey|d o ɾ e ɪ̯
dority|d o ɾ ɪ t͡ʃ
dorroh|d o ɾ o h
dorthea|d o ɾ t͡ʃ a
doskocil|d o s k o s ɪ l
doughy|d o ʊ̯ ɡ h ɪ
douty|d o ʊ̯ t ɪ
downstate|d a ʊ̯ n s t a t e
doyal|d o j ɐ l
drachma|d ɾ a t͡ʃ m ɐ
drage|d ɾ a ɰ e
drennan|d ɾ e n n ɐ n
dresses(2)|d ɾ e s e s
droke|d ɾ o x e
drool|d ɾ o ʔ o l
drudgery|d ɾ ʊ d͡ʒ e ɾ ɪ
drumlin's|d ɾ ʊ m l i n s
dualisms|d ʊ ɐ l i s m s
dubas|d u b ɐ s
dubilier|d ʊ b ɪ l j e ɾ
duchow|d u t͡ʃ o ʊ̯
dud|d ʊ d
duer|d w e ɾ
duffell|d ʊ f e l l
duggan|d ʊ ɡ ɡ a n
dulcibelle|d ʊ l s ɪ b e l l e
dumez|d ʊ m e s
dundore|d ʊ n d o ɾ e
dunite|d ʊ n i t e
dunlap|d ʊ n l a p
durden|d ʊ ɾ d e n
during(2)|d ʊ ɾ i ŋ
dusenberry|d ʊ s e n b e ɾ ɾ ɪ
dvorsky|d v o ɾ s k ɪ
dwellings|d w e l l ɪ ŋ s
dymond|d ɪ m o n d
dzhirkvelov|d͡ʒ ɪ ɾ k b e l o b
earfull|ʔ e ɐ ɾ f ʊ l l
earplug(2)|ʔ e ɐ ɾ p l ʊ ɡ
earthworms|ʔ æ ɾ θ w o ɾ m s
easterling|ʔ e ɐ s t e ɾ l ɪ ŋ
eberhardt|ʔ e b e ɾ h a ɾ t
ebron|ʔ e b ɾ o n
eccentricity|ʔ e k s e n t ɾ i s ɪ t͡ʃ i
eckerle|ʔ e k e ɾ l e
ecologists(2)|ʔ e x o l o ɰ ɪ s t s
economists(2)|ʔ e x o n o m ɪ s t s
ecumena|ʔ e x ʊ m e n ɐ
eddins|ʔ e d d i n s
edelmann|ʔ e d e l m ɐ n n
edgell|ʔ e d͡ʒ e l l
edited(2)|ʔ e d ɪ t e d
edival|ʔ e d i b ɐ l
edminster|ʔ e d m ɪ n s t e ɾ
efficacious|ʔ e f ɪ x a ʃ o ʊ s
egotist|ʔ e ɰ o t i s t
ehlke|ʔ e h l k e
ehrlich|ʔ e h ɾ l ɪ h
eichler|ʔ e ɪ̯ t͡ʃ l e ɾ
eilers|ʔ e ɪ̯ l e ɾ s
einon|ʔ e ɪ̯ n o n
eisenbeis|ʔ e s e n b e ʔ ɪ s
elaine's(2)|ʔ e l a ɪ̯ n e s
elastomers|ʔ e l ɐ s t o m e ɾ s
electability|ʔ e l e k t ɐ b ɪ l i t͡ʃ
electrobiology's|ʔ e l e k t ɾ o b i o l o ɰ i s
eliciting|ʔ e l ɪ s i t ɪ ŋ
elitism|ʔ e l i t ɪ s m
ellegood|ʔ e l l e ɰ ʊ d
ellette|ʔ e l l e t e
ellzey|ʔ e l l z e ɪ̯
elvera|ʔ e l b e ɾ ɐ
elyria|ʔ e l ɪ ɾ j a
emasculated|ʔ e m ɐ s k ʊ l a t e d
embolden|ʔ e m b o l d e n
embroideries|ʔ e m b ɾ o ɪ̯ d e ɾ j e s
emerging(2)|ʔ e m e ɾ ɡ ɪ ŋ k
employers'(2)|ʔ e m p l o j e ɾ s
emptied(2)|ʔ e m p t͡ʃ e d
emuil's|ʔ e m u ɪ l s
enabling(2)|ʔ e n a b l ɪ ŋ
encrusted|ʔ e ŋ k ɾ u s t e d
encyclopedist(2)|ʔ e n s ɪ k l o p e d ɪ s t
endocrinologists(2)|ʔ e n d o k ɾ ɪ n o l o ɰ ɪ s t s
engelbrecht|ʔ e ŋ e l b ɾ e t͡ʃ t
engler|ʔ e ŋ l e ɾ
enmesh|ʔ e m m e ʃ
enrage|ʔ e n ɾ a ɰ e
entertainer(2)|ʔ e n t e ɾ t a ɪ̯ n e ɾ
enticement|ʔ e n t ɪ s e m e n t
entomologist|ʔ e n t o m o l o ɰ ɪ s t
entrekin|ʔ e n t ɾ e x ɪ n
enunciated|ʔ e n ʊ n ʃ a t e d
environmentalists'|ʔ e m b ɪ ɾ o m m e n t ɐ l i s t s
eplin|ʔ e p l ɪ n
eppers|ʔ e p p e ɾ s
erkkila|ʔ e ɾ k k i l ɐ
eroded(4)|ʔ e ɾ o d e d
erosional|ʔ e ɾ o ʃ o n a l
eschewed|ʔ e s t͡ʃ e w e d
escudos|ʔ e s k u d o s
esh|ʔ e s h
espousing|ʔ e s p o ʊ̯ s ɪ ŋ
essays(2)|ʔ e s a ɪ̯ s
estenson|ʔ e s t e n s o n
estuary|ʔ e s t w ɐ ɾ ɪ
etcheverry|ʔ e t͡ʃ e b e ɾ ɾ ɪ
etherington|ʔ e t h e ɾ ɪ ŋ t o n
euchre|j ʊ x ɾ e
eurodebentures|ʔ e ʊ̯ ɾ o d e b e n t u ɾ e s
europewide|ʔ e ʊ̯ ɾ o p e w i d e
evangelist(3)|ʔ e b ɐ ŋ h e l ɪ s t
evaporated(2)|ʔ e b ɐ p o ɾ ɐ t e d
evel|ʔ e b e l
event(2)|ʔ e b e n t
everest's(2)|ʔ e b e ɾ e s t s
everling|ʔ e b e ɾ l ɪ ŋ
eves|ʔ e b e s
evolving|ʔ e b o l b ɪ ŋ
exbrokers|ʔ e k s b ɾ o x e ɾ s
excels|ʔ e k s s e l s
exchangers|ʔ e k s t͡ʃ a ŋ e ɾ s
exhaustively|ʔ e k s h a ʊ̯ s t i b l i
exigency|ʔ e ɡ z ɪ h e n s ɪ
expatriate(2)|ʔ e k s p ɐ t ɾ ɪ ɐ t e
experimenter|ʔ e k s p e ɾ ɪ m e n t e ɾ
extravagantly|ʔ e k s t ɾ ɐ b ɐ ɰ a n t l ɪ
exults|ʔ e ɡ z u l t͡s
ezola|ʔ e s o l ɐ
fadlallah|f ɐ d l ɐ l l a h
fainted|f ɐ ʔ ɪ n t e d
faist|f ɐ ʔ i s t
fall's|f ɐ l l s
fallow|f ɐ l l o ʊ̯
famously|f ɐ m o ʊ̯ s l i
fanning's|f ɐ n i ŋ s
fantasizing(2)|f ɐ n t ɐ s i s ɪ ŋ
faraci|f ɐ ɾ a s ɪ
farica|f ɐ ɾ i x ɐ
farling|f ɐ ɾ l i ŋ
farmyard|f ɐ ɾ m j a ɾ d
farquharson|f ɐ ɾ k h ɐ ɾ s o n
fascist|f ɐ s s i s t
fasick|f ɐ s i k
fatigues|f ɐ t i ɰ e s
faulting|f ɐ ʔ ʊ l t i ŋ
favinger|f ɐ b i ŋ e ɾ
faymonville|f a ɪ̯ m o n b ɪ l l e
fearnow|f æ͜ɑ ɾ n o ʊ̯
federalize|f e d e ɾ ɐ l i s e
feedlots|f e e d l o t͡s
feldkamp|f e l d k ɐ m p
felicia's|f e l i ʃ ɐ s
felled|f e l j e d
femrite|f e m ɾ i t e
fenster|f e n s t e ɾ
ferarro|f e ɾ a ɾ o
ferrochrome|f e ɾ ɾ o t͡ʃ ɾ o m e
fertlow|f e ɾ t l o ʊ̯
festival(2)|f e s t i b ɐ l
fiberboard|f ɪ b e ɾ b o ɐ ɾ d
ficken|f ɪ k e n
fiddler's|f ɪ d l e ɾ s
fidgeting|f ɪ d ɡ e t ɪ ŋ
fields'|f i e l d s
finalco|f ɪ n a l k o
finazzo|f ɪ n a s s o
finefrock|f ɪ n e f ɾ o k
finkenbinder|f ɪ ŋ k e n b ɪ n d e ɾ
fiorino|f ɪ o ɾ i n o
firebug|f ɪ ɾ e b ʊ ɡ
fireplaces|f a ɪ̯ ɾ p l a s e s
firsts(3)|f ɪ ɾ s t s
fiserv|f ɪ s e ɾ f
fisherman(2)|f ɪ s h e ɾ m ɐ n
fithian|f ɪ t h i ʔ ɐ n
fitzsimons|f ɪ t͡ʃ ɪ m o n s
fizzling|f ɪ s l i ŋ
flagellate|f l ɐ ɰ e l j a t e
flaps|f l ɐ p s
fleeger|f l e e ɰ e ɾ
fleissner|f l e ɪ̯ s n e ɾ
flight's|f l a ɪ̯ t s
floorboards|f l o ɾ b o ɐ ɾ d͡z
florence's|f l o ɾ e n s e s
florists(3)|f l o ɾ ɪ s t s
flourishes|f l o ʊ̯ ɾ ɪ ʃ e s
flung|f l ʊ ŋ
fluorocarbon|f l ʊ ɾ o x a ɾ b o n
flutes|f l ʊ t e s
flytrap|f l ɪ t ɾ a p
foaling|f o ɐ l i ŋ
fondiaria|f o n d͡ʒ a ɾ j ɐ
for(3)|f o ɾ k x ɪ
forbus|f o ɾ b ʊ s
forearm|f o ɾ e ɐ ɾ m
forgives(2)|f o ɾ ɡ ɪ b e s
forswear|f o ɾ s w e ɐ ɾ
fortier|f o ɾ t͡ʃ e ɾ
fortresses|f o ɾ t ɾ e s e s
fossett|f o s e t t
foulness|f o ʊ̯ l n e s
fouty|f o ʊ̯ t ɪ
foxwood|f o k s w ʊ d
frable|f ɾ a b l e
fraga|f ɾ a ɰ ɐ
fraher|f ɾ ɐ h e ɾ
fralix|f ɾ a l ɪ k s
frankenheimer|f ɾ ɐ ŋ k e n h a ɪ̯ m e ɾ
frasca|f ɾ a s k ɐ
fraternizing|f ɾ ɐ t e ɾ n i s ɪ ŋ
freedom's|f ɾ e ʔ e d o m s
freemason|f ɾ e ʔ e m ɐ s o n
freidan|f ɾ e ɪ̯ d a n
frentz|f ɾ e n t͡s
frerking|f ɾ e ɾ k ɪ ŋ
friedberg|f ɾ ɪ e d b e ɾ ɡ
frightening(2)|f ɾ a ɪ̯ t e n ɪ ŋ
fritchman|f ɾ ɪ t͡ʃ m a n
frohlich|f ɾ o h l ɪ t͡ʃ
frontage|f ɾ o n t a ɰ e
fuklah's|f ʊ k l a h s
fullenkamp|f ʊ l l e ŋ k a m p
fulwider|f ʊ l w i d e ɾ
fundamentalists(5)|f ʊ n d ɐ m e n t ɐ l i s t͡ʃ
funicello|f ʊ n ɪ s e l l o
furloughs|f ʊ ɾ l o ʊ̯ s
furrowed|f ʊ ɾ ɾ o w e d
futher|f ʊ t h e ɾ
fyodorov|f j o d o ɾ o b
gadgetry|ɡ ɐ d ɡ e t ɾ ɪ
gaebel|ɡ ɐ ʔ e b e l
gafford|ɡ ɐ f f o ɾ d
gaglione(2)|ɡ ɐ ɡ l ɪ o n e
gajda|ɡ ɐ h d a ʔ
galanti|ɡ ɐ l a n t ɪ
galgano|ɡ ɐ l ɡ a n o
gallen|ɡ ɐ l l e n
galleys|ɡ ɐ l j e ɪ̯ s
galloon|ɡ ɐ l l o ʔ o n
galoob|ɡ ɐ l o ʔ o b
galvanic|ɡ ɐ l b a n ɪ k
gamage|ɡ ɐ m a ɰ e
gametangia|ɡ ɐ m e t a ŋ ɪ ɐ
gammon|ɡ ɐ m m o n
gamunde's|ɡ ɐ m u n d e s
ganging|ɡ ɐ ŋ i ŋ
garafola|ɡ ɐ ɾ ɐ f o l ɐ
garble|ɡ ɐ ɾ b l e
gardella|ɡ ɐ ɾ d e l l ɐ
gardner's|ɡ ɐ ɾ d n e ɾ s
garg|ɡ ɐ ɾ ɡ
garnette|ɡ ɐ ɾ n e t e
garroz|ɡ ɐ ɾ o s
garton|ɡ ɐ ɾ t o n
gasparro|ɡ ɐ s p a ɾ ɾ o
gattis|ɡ ɐ t i s
gaubert's(2)|ɡ a ʊ̯ b e ɾ t s
gaughan|ɡ ɐ ʔ ʊ ɡ h a n
gauntness|ɡ a ʊ̯ n t n e s
gawen|ɡ a w e n
gaymon|ɡ a ɪ̯ m o n
geisinger|ɡ e ɪ̯ s ɪ ŋ e ɾ
gen.|ɡ e n
generalizing|ɡ e n e ɾ ɐ l i s ɪ ŋ
gengenbach(2)|ɡ e ŋ e n b ɐ x
gennadi|ɡ e n n a d ɪ
genrad|ɡ e n ɾ a d
genthner|ɡ e n t h n e ɾ
gentlewomen's|d͡ʒ e n t l e w i m e n s
georgene|d͡ʒ o ɾ d͡ʒ e n e
gerais|ɡ e ɾ a ɪ̯ s
gerbasi|ɡ e ɾ b a s ɪ
gerrity|ɡ e ɾ ɪ t͡ʃ
gerstenberger|ɡ e ɾ s t e n b e ɾ ɡ e ɾ
ghadafi(2)|ɡ ɐ d a f ɪ ʔ
giaconda's|ɡ ɪ ɐ x o n d ɐ s
gianini|ɡ ɪ ɐ n i n ɪ
giardino|ɡ ɪ ɐ ɾ d i n o
gibney|ɡ ɪ b n e ɪ̯
gienger|ɡ i e ŋ e ɾ
gifford|ɡ ɪ f f o ɾ d
gilcrest|ɡ ɪ l k ɾ e s t
gillette's|ɡ ɪ l j e t e s
gillotti|ɡ ɪ l l o t ɪ
gilvin|ɡ ɪ l b i n
gingerich|ɡ ɪ ŋ ɡ e ɾ ɪ t͡ʃ
girouard|ɡ ɪ ɾ o w a ɾ d
gladding|ɡ l ɐ dː i ŋ
glamorizing|ɡ l ɐ m o ɾ i s ɪ ŋ
glassmaker|ɡ l ɐ s m a x e ɾ
glenayre|ɡ l e n a ɪ̯ ɾ e
glockner|ɡ l o k n e ɾ
glottal|ɡ l o t ɐ l
glynn|ɡ l ɪ n n
gmbh(2)|ɡ m b h
goben|ɡ o b e n
godfather's|ɡ o d f ɐ ð h e ɾ s
goguen|ɡ o ɰ e n
golconda|ɡ o l k o n d ɐ
goldfields|ɡ o l d f i e l d s
goldress|ɡ o l d ɾ e s
gomillion|ɡ o m ɪ l l j o n
gooch|ɡ ʊ x
goodenow|ɡ ʊ d e n o ʊ̯
goodner|ɡ ʊ d n e ɾ
goosefish|ɡ u s e f ɪ ʃ
gorazde's|ɡ o ɾ a s d e s
goria|ɡ o ɾ j ɐ
gosney|ɡ o s n e ɪ̯
gotbaum|ɡ o t b a ʔ ʊ m
gottshall|ɡ o t͡ʃ h a l l
gourdine|ɡ o ʊ̯ ɾ d i n e
governed|ɡ o b e ɾ n e d
goyette|ɡ o j e t e
grace's|ɡ ɾ a s e s
grady|ɡ ɾ a d ɪ
gramley|ɡ ɾ a m l e ɪ̯
granahan|ɡ ɾ ɐ n a h ɐ n
grandinetti|ɡ ɾ ɐ n d ɪ n e t ɪ
grandmother's(3)|ɡ ɾ ɐ n m o ð e ɾ s
grandsons(2)|ɡ ɾ ɐ n d s o n s
granitic|ɡ ɾ ɐ n i t ɪ k
grassfield's|ɡ ɾ ɐ s f iː l d s
gratifying|ɡ ɾ ɐ t ɪ f j i ŋ
gravelly|ɡ ɾ ɐ b e l l ɪ
grayer|ɡ ɾ a j e ɾ
grecian|ɡ ɾ e ʃ ɐ n
greenslade|ɡ ɾ e ɪ̯ n s l a d e
greetham|ɡ ɾ e ʔ e t h ɐ m
grier's|ɡ ɾ i e ɾ s
griffee|ɡ ɾ ɪ f f e ʔ
grimmett|ɡ ɾ ɪ m m e t t
gripped|ɡ ɾ ɪ p p e d
gritton|ɡ ɾ ɪ t o n
grob|ɡ ɾ o b
grodin|ɡ ɾ o d i n
groman|ɡ ɾ o m a n
groomes|ɡ ɾ ʊ m e s
grossnickle|ɡ ɾ o s n ɪ k l e
groundnuts|ɡ ɾ o ʊ̯ n d n ʊ t s
grouting|ɡ ɾ o ʊ̯ t i ŋ
grudging|ɡ ɾ ʊ d ɡ i ŋ
grumbine|ɡ ɾ u m b i n e
grunebaum|ɡ ɾ ʊ n e b a ʔ ʊ m
grygiel|ɡ ɾ ɪ ɡ j e l
guandong's|ɡ w ɐ n d o ŋ s
guantanamo|ɡ w ɐ n t ɐ n a m o
guesstimate(2)|ɡ e s t ɪ m a t e
gugel|ɡ u ɰ e l
guidice|ɡ ɪ d i s e
guilbeault|ɡ ɪ l b o l t
gul|ɡ ʊ l
gulbranson|ɡ ʊ l b ɾ ɐ n s o n
gullo|ɡ ʊ l l o
gunatilake|ɡ ʊ n ɐ t ɪ l a x e
gunia|ɡ u ɲ ɐ
gurley|ɡ ʊ ɾ l e ɪ̯
gusciora|ɡ ʊ s ʃ o ɾ ɐ
guthmiller|ɡ ʊ t h m i l j e ɾ
guyer|ɡ u j e ɾ
gytha|ɡ ɪ t h a ʔ
habicht|h ɐ b i t͡ʃ t
haering|h ɐ ʔ e ɾ ɪ ŋ
hafta|h ɐ f t a ʔ
hagemeyer|h ɐ ɰ e m e j e ɾ
hainline|h ɐ ʔ ɪ n l i n e
hakes|h a x e s
halcyone|h ɐ l ʃ o n e
hallam|h ɐ l l a m
halliburton|h ɐ l l ɪ b ʊ ɾ t o n
hallums|h ɐ l l u m s
halogenate|h ɐ l o d͡ʒ e n a t e
halts|h ɐ l t͡ʃ
hamadei|h ɐ m ɐ d e ʔ ɪ
hambleton|h ɐ m b l e t o n
hamley|h ɐ m l e ɪ̯
hammerschmidt|h ɐ m m e ɾ ʃ m i t
hamstra|h ɐ m s t ɾ a
hanchey|h ɐ n t͡ʃ e ɪ̯
handelsman|h ɐ n d e l s m ɐ n
handlers(2)|h ɐ n d l e ɾ s
handshaking|h ɐ n d ʃ a x ɪ ŋ
hanisee|h ɐ n ɪ s e ʔ e
hanneken|h ɐ n e x e n
hannum|h ɐ n n u m
hansen's|h ɐ n s e n s
hanthorn|h ɐ n t h o ɾ n
hap|h ɐ p
harbuck|h ɐ ɾ b ʊ k
hardegree|h ɐ ɾ d e ɡ ɾ e ʔ e
hardman|h ɐ ɾ d m a n
harebrained|h ɐ ɾ e b ɾ ɐ ʔ i n e d
harlacher|h ɐ ɾ l a t͡ʃ e ɾ
harmlessly|h ɐ ɾ m l e s l i
harnden|h ɐ ɾ n d e n
harpe|h a ɾ p e
harpoon|h ɐ ɾ p ʊ n
harry's|h a ɾ ɾ ɪ s
hartfiel|h ɐ ɾ t f i ʔ e l
hartness|h ɐ ɾ t n e s
hartzell|h ɐ ɾ t͡ʃ e l l
harvested(2)|h ɐ ɾ b e s t e d
haskin|h ɐ s k i n
hassenberg|h ɐ s e n b e ɾ ɡ
hatchett|h ɐ t͡ʃ e t͡ʃ
hauke|h a ʊ̯ x e
havin'|h ɐ b i n
hayman|h a ɪ̯ m a n
hazelbaker|h ɐ s e l b ɐ x e ɾ
heacox|h e ɐ x o k s
healthcorp|h æ ɐ l t h k o ɾ p
hearer|h e ɐ ɾ e ɾ
heartened|h æ ɐ ɾ t e n e d
heat's|h e ɐ t s
heathman|h e ɐ t h m a n
heavrin|h e ɐ b ɾ i n
heckert|h e k e ɾ t
hedeen|h e d e ʔ e n
hedonistic|h e d o n i s t ɪ k
heese|h e ʔ e s e
hegadorn|h e ɰ ɐ d o ɾ n
heimbach|h e ɪ̯ m b a x
heinig|h e ɪ̯ n ɪ ɡ
heiple|h e ɪ̯ p l e
heistand|h e ɪ̯ s t a n d
helbing|h e l b ɪ ŋ
helmich|h e l m ɪ h
helotism|h e l o t ɪ s m
hendrich|h e n d ɾ ɪ h
henkelman|h e ŋ k e l m ɐ n
hennigan|h e n n i ɰ ɐ n
hensler(2)|h e n s l e ɾ
herberger|h e ɾ b e ɾ ɡ e ɾ
hercegovina's|h e ɾ s e ɰ o b i n ɐ s
herrle|h e ɾ ɾ l e
hersh|h e ɾ ʃ
herwick|h e ɾ w ɪ k
hesler|h e s l e ɾ
hettie|h e t͡ʃ i e
heverly|h e b e ɾ l ɪ
hiaasen|h ɪ ɐ ʔ ɐ s e n
highboy|h ɪ ɡ h b o ɪ̯
highsmith|h ɪ ɡ h s m i θ
hildy|h ɪ l d͡ʒ i
hillard's|h ɪ l j a ɾ d s
hillin|h ɪ l l i n
hillyard|h ɪ l j a ɾ d
hinck|h ɪ ŋ k
hinderman|h ɪ n d e ɾ m ɐ n
hirabayashi|h ɪ ɾ ɐ b ɐ j a ʃ ɪ
hirota|h ɪ ɾ o t ɐ
hladky|h l ɐ d k i
hoary|h o ɐ ɾ ɪ
hobgood|h o b ɡ ʊ d
hockenberry|h o k e n b e ɾ ɾ ɪ
hodgepodge|h o d͡ʒ p o d͡ʒ e
hoelle|h o e l l e
hofacker|h o f a k e ɾ
hoglunds|h o ɡ l ʊ n d s
hoisted|h o ɪ̯ s t e d
holdridge|h o l d ɾ ɪ d͡ʒ
holleran|h o l j e ɾ ɐ n
hollinshead(2)|h o l l ɪ n s h e ɐ d
holt's|h o l t s
holven|h o l b e n
holzstoff|h o l s t o f
homebuilder|h o m e b ɪ l d e ɾ
homeopathic|h o m e o p a t h ɪ k
homespun|h o m e s p ʊ n
homicidal|h o m ɪ s ɪ d a l
homrich|h u m ɾ ɪ h
honor's|h o n o ɾ s
hoogovens|h ʊ ɰ o b e n s
hoosiers|h ʊ ʃ e ɾ s
hopfensperger|h o p f e n s p e ɾ ɡ e ɾ
horace(2)|h o ɾ a s e
hordes|h o ɾ d e s
horning|h o ɾ n ɪ ŋ
horsemanship|h o ɾ s e m ɐ n ʃ i p
hostutler(2)|h o s t ʊ t l e ɾ
houge|h o ʊ̯ ɰ e
housman|h o ʊ̯ s m a n
hove|h o b e
how're|h o ʊ̯ ɾ e
howk|h a ʊ̯ k
hoxsie|h o k s ɪ e
hrovat(2)|h ɾ o b ɐ t
huberty|h ʊ b e ɾ t ɪ
huckelby'll|h ʊ k e l b ɪ l
huebert|h ʊ e b e ɾ t
huettl|h ʊ e t t l
hufstetler(2)|h ʊ f s t e t l e ɾ
hughes's|h ʊ ɡ h e s
hulick|h ʊ l i k
hulled|h ʊ l l e d
hulsey|h ʊ l s e ɪ̯
humanizes|h ʊ m ɐ n i s e s
humblest|h u m b l e s t
huneke|h ʊ n e x e
hunkele|h ʊ ŋ k e l e
hurly|h ʊ ɾ l i
hurry|h ʊ ɾ ɾ i
huskins|h ʊ s k i n s
hyche|h ɪ t͡ʃ e
hydrick|h ɪ d ɾ i k
hydrogenates|h ɪ d ɾ o d͡ʒ e n a t e s
hygienist(2)|h ɪ ɰ i e n ɪ s t
hymies|h ɪ m i e s
hypnotized|h ɪ p n o t i s e d
hyser|h ɪ s e ɾ
hyundai's|h j ʊ n d a ɪ̯ s
iakovos|ʔ ɪ ɐ x o b o s
iams(2)|ʔ ɪ ɐ m s ʔ e
ianthina|ʔ ɪ ɐ n t h i n ɐ
iavarone|ʔ ɪ ɐ b ɐ ɾ o n e
identity(3)|ʔ ɪ d e n t i t͡ʃ
ierardi|ʔ ɪ e ɾ a ɾ d ɪ
illiterates|ʔ ɪ l l ɪ t e ɾ a t e s
illustrating|ʔ ɪ l l ʊ s t ɾ a t ɪ ŋ
imcera|ʔ ɪ m s e ɾ ɐ
